Team,Season,GP,Shots,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
Minnesota Wild,20182019,82,2072,3805,3664,141,-85,-33,259,-59,2862,2658,204,-25,72,157,0
Columbus Blue Jackets,20182019,82,2120,3745,3716,29,103,-159,85,118,2907,2787,120,115,-39,44,151
Buffalo Sabres,20182019,82,2133,3754,3759,-5,-46,-86,127,-132,2913,2934,-21,-39,-34,52,-115
Colorado Avalanche,20182019,82,2045,3688,3708,-20,-1,-185,166,4,2723,2696,27,16,-81,92,39
Pittsburgh Penguins,20182019,82,2198,3919,3960,-41,101,-226,84,38,2957,2939,18,103,-116,31,64
Florida Panthers,20182019,82,2059,3639,3725,-86,30,-215,99,97,2789,2791,-2,33,-101,66,110
Chicago Blackhawks,20182019,82,2133,3833,3935,-102,34,-180,44,-7,2800,2985,-185,-14,-114,-57,-85
Washington Capitals,20182019,82,1953,3714,3859,-145,-71,-206,132,-92,2768,2884,-116,-56,-100,40,-67
Winnipeg Jets,20182019,82,1995,3692,3849,-157,-93,-193,129,-184,2760,2899,-139,-103,-100,64,-168
Arizona Coyotes,20182019,82,1982,3732,3907,-175,-77,-279,181,-160,2766,2836,-70,-32,-130,92,-65
Philadelphia Flyers,20182019,82,1977,3696,3930,-234,-128,-200,94,-173,2738,2858,-120,-82,-67,29,-83
Dallas Stars,20182019,82,1980,3632,3885,-253,-168,-222,137,-193,2664,2834,-170,-105,-142,77,-131
Los Angeles Kings,20182019,82,1874,3619,3908,-289,-80,-239,30,-186,2673,2937,-264,-82,-125,-57,-151
Edmonton Oilers,20182019,82,1906,3550,3849,-299,-150,-213,64,-196,2627,2875,-248,-129,-89,-30,-125
Vancouver Canucks,20182019,82,1872,3549,3863,-314,-149,-144,-21,-157,2648,2867,-219,-79,-60,-80,-102
New York Islanders,20182019,82,1891,3545,3864,-319,-16,-416,113,-166,2613,2801,-188,-12,-226,50,-118
Anaheim Ducks,20182019,82,1846,3596,3958,-362,-310,-182,130,-328,2673,2985,-312,-217,-105,10,-241
Detroit Red Wings,20182019,82,1885,3503,3933,-430,-83,-270,-77,-189,2604,3020,-416,-107,-195,-114,-218
New Jersey Devils,20182019,82,1931,3382,3833,-451,-124,-230,-97,-239,2628,2907,-279,-66,-119,-94,-147
New York Rangers,20182019,82,1869,3381,3958,-577,-321,-183,-73,-461,2564,2968,-404,-203,-115,-86,-311
