Team,Season,GP,P,P%,GF,GA,GF%,SAT%,SAT% Ahead,SAT% Tied,SAT% Behind,SAT% Close,USAT %,USAT% Ahead,USAT% Tied,USAT% Behind,USAT% Close,5v5 OZ%,5v5 S%,5v5 Sv%,5v5 S%+Sv%
Carolina Hurricanes,20192020,68,81,0.596,705,680,50.9,54.3,50.5,53.9,58.7,54.4,53.6,50.7,53.7,56.4,53.7,52.3,8.1,91.2,99.3
Los Angeles Kings,20192020,70,64,0.457,595,700,46,53.1,49.2,51.9,57.1,52.1,52.8,49.4,52,56.1,51.7,50.6,6.4,91.5,98
Tampa Bay Lightning,20192020,70,92,0.657,810,610,57,52.2,51.8,50.7,55.5,51.5,51.5,52.9,48.9,53,50.3,51.3,9.7,92.6,102.2
Toronto Maple Leafs,20192020,70,81,0.579,790,785,50.2,52,48.7,53.9,53.4,52.3,51.3,49.6,53.2,51,51.4,50.2,8.6,91.2,99.7
Colorado Avalanche,20192020,70,92,0.657,810,575,58.5,51.6,48.8,53.9,53.8,54,51.4,50,52.9,51.9,53.6,50.8,9.1,93.2,102.3
Washington Capitals,20192020,69,90,0.652,790,710,52.7,51.6,49.7,50.8,54.4,51.9,51.3,51.3,50,52.6,51.8,49.9,9.5,91.3,100.7
Pittsburgh Penguins,20192020,69,86,0.623,755,690,52.3,51,48.5,49.1,55.5,50.4,51.5,50.3,50.3,54.2,51,51.7,8.7,91.5,100.2
Nashville Predators,20192020,69,78,0.565,760,675,53,50.9,47.3,50.8,54.5,50.1,51.6,49.8,51.5,53.6,50.9,49,8.6,92,100.6
Philadelphia Flyers,20192020,69,89,0.645,765,670,53.3,50.9,48.5,51,53.4,51.8,50.8,50.3,49.1,52.8,50.8,48.4,9.3,91.5,100.8
Boston Bruins,20192020,70,100,0.714,705,530,57.1,50.8,48.4,50.6,55.2,51.1,50.9,50.3,49.6,53.7,50.9,53,8.3,93.3,101.7
St. Louis Blues,20192020,71,94,0.662,745,595,55.6,50.8,48.4,51.7,53,51.4,50.8,49.1,51.6,52,50.9,50.4,8.6,92.7,101.3
San Jose Sharks,20192020,70,63,0.45,615,810,43.2,50.5,47.2,51.8,51.9,51.5,50.1,48.9,51.7,49.5,51.7,49.2,7.5,90.1,97.6
Calgary Flames,20192020,70,79,0.564,665,735,47.5,50.3,47.8,50.4,52.3,50,49.7,48,50.6,50.4,49.7,50.7,7.6,91.8,99.5
Florida Panthers,20192020,69,78,0.565,790,770,50.6,49.8,48.7,48.9,51.7,49.1,50.1,50.4,48.9,50.9,49,50.2,9,91.1,100.1
Minnesota Wild,20192020,69,77,0.558,785,700,52.9,49.6,44.9,51.9,52.2,50.4,49.7,47,52.5,49.8,50.8,49,9.5,91.5,101
Dallas Stars,20192020,69,82,0.594,540,560,49.1,49.5,45.7,51.3,50.8,49.5,49.3,47.6,50.3,49.9,49.1,49.5,6.7,93.2,99.8
Columbus Blue Jackets,20192020,70,81,0.579,625,610,50.6,49.2,45.1,49.5,52.2,49.4,50.9,47.8,51.3,53.1,51.3,51.4,6.8,92.8,99.6
Buffalo Sabres,20192020,69,68,0.493,650,670,49.2,49.1,45.6,49.9,51.1,50.1,48.6,47.1,50.4,48.1,50.1,49.7,8.2,92.2,100.4
