Team,Season,GP,Shots,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
San Jose Sharks,20182019,20,442,951,928,23,-29,-11,63,15,641,671,-30,-34,-11,15,-15
Boston Bruins,20182019,24,618,1097,1076,21,12,-32,41,29,841,793,48,20,6,22,37
Colorado Avalanche,20182019,12,310,586,565,21,11,-1,11,18,416,398,18,9,14,-5,6
Toronto Maple Leafs,20182019,7,189,358,347,11,11,-19,19,3,270,275,-5,-6,-8,9,-6
Winnipeg Jets,20182019,6,141,271,273,-2,16,-21,3,-5,198,203,-5,8,-13,0,-7
Calgary Flames,20182019,5,119,219,267,-48,-15,-21,-12,-34,158,199,-41,-17,-8,-16,-25
New York Islanders,20182019,8,178,354,410,-56,-48,-19,11,-58,252,301,-49,-38,-10,-1,-51
Columbus Blue Jackets,20182019,10,242,426,509,-83,-28,-59,4,-18,322,372,-50,-9,-27,-14,3
Dallas Stars,20182019,13,320,606,708,-102,-18,-97,13,-26,431,501,-70,-21,-49,0,-23
Washington Capitals,20182019,7,136,256,376,-120,-28,-61,-31,-55,191,281,-90,-14,-44,-32,-44
Tampa Bay Lightning,20192020,25,710,1445,1121,324,223,34,67,121,998,759,239,141,51,47,94
Vegas Golden Knights,20192020,20,549,1046,731,315,106,46,163,202,743,473,270,95,78,97,164
Colorado Avalanche,20192020,15,398,726,567,159,41,26,92,77,504,400,104,22,38,44,42
Montréal Canadiens,20192020,10,234,494,419,75,2,9,64,49,355,307,48,4,4,40,39
Nashville Predators,20192020,4,132,228,178,50,8,4,38,1,172,119,53,17,8,28,6
Toronto Maple Leafs,20192020,5,152,296,263,33,24,-4,13,21,217,196,21,19,-1,3,18
Edmonton Oilers,20192020,4,99,177,151,26,8,13,5,11,127,111,16,3,12,1,6
Winnipeg Jets,20192020,4,86,164,146,18,-16,3,31,-2,121,110,11,-9,2,18,2
Boston Bruins,20192020,13,314,651,635,16,-12,-1,29,12,455,448,7,1,4,2,2
St. Louis Blues,20192020,9,195,353,337,16,23,-27,20,6,253,250,3,9,-10,4,4
Pittsburgh Penguins,20192020,4,97,198,187,11,-9,18,2,21,138,134,4,-6,8,2,13
Minnesota Wild,20192020,4,83,153,154,-1,2,-13,10,-6,121,113,8,10,-9,7,-1
Carolina Hurricanes,20192020,8,166,360,365,-5,-13,14,-6,3,257,261,-4,-12,20,-12,8
Florida Panthers,20192020,4,67,159,165,-6,6,-25,13,-7,101,127,-26,-8,-16,-2,-23
Washington Capitals,20192020,8,128,295,302,-7,-5,-12,10,-27,198,227,-29,-6,-11,-12,-34
New York Rangers,20192020,3,66,118,140,-22,-3,-2,-17,-12,87,105,-18,-1,-2,-15,-7
Calgary Flames,20192020,10,229,415,465,-50,-9,-65,24,-42,304,356,-52,-14,-48,10,-39
Philadelphia Flyers,20192020,16,357,728,804,-76,4,-105,25,-64,520,592,-72,-7,-60,-5,-64
New York Islanders,20192020,22,497,998,1104,-106,-92,-80,66,-40,723,740,-17,-53,-3,39,14
Chicago Blackhawks,20192020,9,179,353,482,-129,-40,-53,-36,-86,241,346,-105,-36,-29,-40,-70
Arizona Coyotes,20192020,9,186,363,494,-131,-37,-76,-18,-50,242,358,-116,-36,-52,-28,-40
Dallas Stars,20192020,27,584,1105,1244,-139,-14,-140,15,3,781,874,-93,-11,-81,-1,-4
Columbus Blue Jackets,20192020,10,273,518,669,-151,-97,-30,-24,-57,385,471,-86,-53,-16,-17,-39
Vancouver Canucks,20192020,17,320,642,858,-216,-99,-111,-6,-129,448,609,-161,-68,-61,-32,-86
Vegas Golden Knights,20202021,19,505,1011,841,170,72,20,78,122,726,550,176,87,37,52,115
Carolina Hurricanes,20202021,11,328,628,513,115,81,1,33,64,476,391,85,71,10,4,55
Pittsburgh Penguins,20202021,6,208,370,258,112,38,37,37,50,285,203,82,29,26,27,36
Boston Bruins,20202021,11,308,608,517,91,7,34,50,42,461,377,84,15,34,35,42
Edmonton Oilers,20202021,4,134,278,225,53,59,-1,-5,37,190,161,29,28,6,-5,17
Florida Panthers,20202021,6,162,281,233,48,8,15,25,6,218,180,38,5,15,18,13
Toronto Maple Leafs,20202021,7,195,325,298,27,34,-17,10,36,242,210,32,32,-8,8,33
Colorado Avalanche,20202021,10,245,493,468,25,7,20,-2,37,328,346,-18,-32,21,-7,-2
Washington Capitals,20202021,5,127,251,263,-12,-6,-13,7,15,184,203,-19,-10,-8,-1,2
Montréal Canadiens,20202021,22,519,967,1024,-57,-34,-41,18,-33,690,751,-61,-39,-16,-6,-27
Tampa Bay Lightning,20202021,23,545,964,1022,-58,46,-80,-24,20,737,768,-31,28,-24,-35,3
St. Louis Blues,20202021,4,86,156,218,-62,-20,-5,-37,-50,115,162,-47,-15,-2,-30,-44
Winnipeg Jets,20202021,8,203,397,468,-71,-89,5,13,-68,284,332,-48,-50,5,-3,-43
Minnesota Wild,20202021,7,149,304,378,-74,-45,-35,6,-90,205,268,-63,-25,-29,-9,-55
Nashville Predators,20202021,6,154,299,392,-93,-80,-7,-6,-51,228,297,-69,-63,6,-12,-34
New York Islanders,20202021,19,454,809,1023,-214,-81,-65,-68,-140,607,775,-168,-61,-40,-67,-111
,,,,,,,,,,,,,,,,,
