Team,Season,GP,P,P%,GF,GA,GF%,SAT%,SAT% Ahead,SAT% Tied,SAT% Behind,SAT% Close,USAT %,USAT% Ahead,USAT% Tied,USAT% Behind,USAT% Close,5v5 OZ%,5v5 S%,5v5 Sv%,5v5 S%+Sv%
Vegas Golden Knights,20202021,19,20,0.526,220,165,57.1,54.6,52.4,53.9,57.4,55.2,56.9,56.5,57.1,56.8,57.2,56.1,8.7,92,100.7
Boston Bruins,20202021,11,12,0.545,105,95,52.5,54.1,55.8,50.6,60.8,52.8,55,57.5,51.7,60.4,53.6,47,6.8,93,99.7
Toronto Maple Leafs,20202021,7,6,0.429,60,45,57.1,52.2,44.2,55.5,53.1,54.6,53.5,46.3,57.3,53.2,55.8,56,6.2,94.3,100.5
Colorado Avalanche,20202021,10,12,0.6,110,105,51.2,51.3,52.2,50.9,49.2,53,48.6,53.1,44.1,45.7,49.8,52.7,9,91.6,100.5
Washington Capitals,20202021,5,2,0.2,35,55,38.9,49,41.1,49.3,52.9,52.3,47.6,42.3,48.1,49.5,50.5,52.7,5.5,91.6,97
Tampa Bay Lightning,20202021,23,32,0.696,235,160,59.5,48.6,46.1,53.2,44.9,50.8,49,48.5,52.6,40.8,50.2,53.8,8.6,94.1,102.7
Montréal Canadiens,20202021,22,26,0.591,165,215,43.4,48.6,46.7,48,51.8,48.6,47.9,48.2,46.7,49.2,48.4,43.9,6.4,92.3,98.6
Winnipeg Jets,20202021,8,8,0.5,65,65,50,45.9,58.1,41,51.9,43.3,46.1,63.2,42.7,49.4,43.9,46.6,6.4,94.6,101
Minnesota Wild,20202021,7,6,0.429,50,70,41.7,44.6,38.4,43.2,51.5,39.9,43.3,37.2,44.5,46.6,40.9,43.3,6.7,92.2,98.9
New York Islanders,20202021,19,22,0.579,200,180,52.6,44.2,40.9,44.5,45.4,44,43.9,42.7,44.4,44,43.6,45.5,8.8,93.6,102.4
Nashville Predators,20202021,6,4,0.333,65,76,46.1,43.3,48.2,40,46.8,44.1,43.5,52,39.6,42,44.9,42.2,8.4,92.7,101.1
St. Louis Blues,20202021,4,0,0,20,50,28.6,41.7,14.3,40.9,42.8,38.7,41.5,25,40.3,42.4,36.1,42.1,4.7,91.7,96.4
